site,sample,trmt,water,conn_pore_perc,conn_water_perc,unconn_pore_perc,unconn_water_perc
tool,40_50_16,before,low,0.048378,0.049431,0.001426,0.008695
tool,40_50_16,after,low,0.042291,0.032096,0.004474,0.012066
tool,41_50_28,before,high,0.022314,0.0479,0.003139,0.015075
tool,41_50_28,after,high,0.013031,0.007835,0.008599,0.014811
tool,40_50_28,before,high,0.019909,0.014306,0.006815,0.008525
tool,40_50_28,after,high,0.015525,0.014396,0.006964,0.007999
tool,28_38_28,before,high,0.017374,0.094367,0.008171,0.015749
tool,28_38_28,after,high,0.121362,0.055383,0.001854,0.004751
tool,28_38_12,before,low,0.0857,0.042139,0.001555,0.006183
tool,28_38_12,after,low,0.082452,0.027434,0.003249,0.005205
tool,41_50_16,before,low,0.018927,0.071174,0.000344,0.013772
tool,41_50_16,after,low,0.008036,0.00485,0.014103,0.010057
