Sample #,IGSN parent #,IGSN daughter #,Samp Date,latitude,longitude,elev (ft),elev (m),slope %,sample type,site,locality,description,classification,min depth (cm),max depth (cm),Horizon,landform,Mapped Lithologic unit,Parent Material,NOTES,bulk density vol (cm3),bulk density (g/cm3),pH,soilmoisture%,om_perc,LOI %,sand_perc,silt_perc,clay_perc,rockfrag_perc,sand % (1000 - 2000 æm),sand % (500 - 1000 æm),sand % (250 - 500 æm), sand % (100 - 250 æm),sand % (50 -100 æm),silt % (2 - 20 æm),silt % (20 - 50 æm),clay % (<2 æm),Texture Class,Total Carbon %,Organic Carbon %,Nitrogen_ppm,Total Carbon pcnt,Organic Carbon pcnt,Total Nitrogen pcnt,Nitrogen ppm,Al2O3 (%),BaO (%),Ba (ppm),CaO (%),Cr2O3 (%),Fe2O3T (%),K2O (%),MgO (%),MnO (%),Na2O (%),Nb (ppm),P2O5 (%),SiO2 (%),SrO (%),Sr (ppm),TiO2 (%),Y (ppm),Zn (ppm),Zr (ppm),LOI (900C),LOI (1000C),bulk XRD,clay XRD,CEC,"Al, Fe, Si sequential extractions",BrayP %,fiber unrubbed %,fiber rubbed %,Thin sections,Plutonium,d13C,Archived in box at JFSL,Hue,Value,Chroma,additional colors listed,*chose dominant color where multiple colors exist in order to graphs
HLEF-17-01,,,5/16/2017,58.6509,-134.83282,2861,975,0,db,HLEF,Site 1 - Tonalite Ridgetop,Tonalite Pedon 1 ,Lithic Cryofolist,0,3.5,Oi,ridgetop,Tonalite,residuum,,112,0.1,4.09,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-02,,,5/16/2017,58.6509,-134.83282,2861,975,0,db,HLEF,Site 1 - Tonalite Ridgetop,Tonalite Pedon 1 ,Lithic Cryofolist,3.5,9,Oe,ridgetop,Tonalite,residuum,,112,0.11,4.36,89.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-03,,,5/16/2017,58.6509,-134.83282,2861,975,0,soil,HLEF,Site 1 - Tonalite Ridgetop,Tonalite Pedon 1 ,Lithic Cryofolist,0,3.5,Oi,ridgetop,Tonalite,residuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5YR,2.5,1,,
HLEF-17-04,,,5/16/2017,58.6509,-134.83282,2861,975,0,soil,HLEF,Site 1 - Tonalite Ridgetop,Tonalite Pedon 1 ,Lithic Cryofolist,3.5,9,Oe,ridgetop,Tonalite,residuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5YR,2.5,2,,
HLEF-17-05,,,5/16/2017,58.6509,-134.83282,2861,975,0,rock,HLEF,Site 1 - Tonalite Ridgetop,Tonalite Pedon 1 ,Lithic Cryofolist,9,9,R,ridgetop,Tonalite,residuum,,,,,,,,,,,,,,,,,,,,,,,69,,,,,16.9,0.16,,5.55,,6.46,2.04,2.14,0.1,3.52,,0.25,59.7,0.07,,0.85,,,160,0.61,,,,,,,,,,,,,,,,,
HLEF-17-06,,,5/16/2017,58.6509,-134.83282,2861,975,0,rock,HLEF,Site 1 - Tonalite Ridgetop,Tonalite weathering rind,Tonalite,,,R,ridgetop,Tonalite,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,0.12,,6.85,,8.14,1.6,2.75,0.12,3.66,,0.41,54.3,0.08,,1.24,,,183,1.05,,,,,,,,,,,,,,,,,
HLEF-17-07,,,5/16/2017,58.6509,-134.83282,2861,975,0,rock,HLEF,Site 1 - Tonalite Ridgetop,Tonalite weathering rind,Tonalite,,,R,ridgetop,Tonalite,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-08,,,5/16/2017,58.6509,-134.83282,2861,975,0,soil,HLEF,Site 1 - Tonalite Ridgetop,soilaccumulated in rock depression,soilaccumulated in rock depression,,,,ridgetop,Tonalite,colluvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-09,,,5/16/2017,58.6509,-134.83282,2861,975,0,rock,HLEF,Site 1 - Tonalite Ridgetop,Tonalite weathering rind,Tonalite,,,R,ridgetop,Tonalite,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-10,,,5/16/2017,58.64722,-134.8428,2510,855,18,db,HLEF,Site 3 - Schist Shoulder,Schist Pedon 1,Lithic Cryosaprist,0,8,Oi,shoulder,Taku,residuum,,112,0.14,3.88,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5YR,2.5,2,,
